index	iteration	Hit	cl_from	cl_to	Prob_ihh	Prob_hh	Eval_hh	Len_hh	prot_id_segment_id
7	2	PF08301.10	2320	2409	96.6	94.3	0.0016	90	NC_025679_YP_009109602.1
3	2	PF12124.5	1545	1604	97.5	94.2	0.0019	60	NC_026011_YP_009113022.1
4	2	PF14756.3	530	611	96.4	93.6	0.0034	86	NC_026439_YP_009118960.1
2	2	PF01661.18	1715	1846	96.8	94.9	7e-04	119	NC_026812_YP_009130641.1
3	2	PF02122.12	3481	3633	96.1	91.2	0.017	153	NC_026812_YP_009130641.1
4	2	PF08717.7	4225	4387	95.3	93	0.0058	163	NC_026812_YP_009130641.1
1	2	PF01570.14	166	223	97.5	95.1	0.00049	45	NC_027817_YP_009164029.1
1	2	PF01570.14	130	182	95.9	87.8	0.054	54	NC_027819_YP_009164031.1
3	2	PF00915.17	1140	1276	95.6	NA	NA	NA	NC_027915_YP_009165498.1
3	4	PF03033.17	3113	3246	96.4	92	0.011	134	NC_027920_YP_009165596.1
7	2	PF08301.10	2127	2196	95.2	90.2	0.025	69	NC_027998_YP_009227295.1
2	2	PF14314.3	6200	6423	96.2	94.9	0.00069	226	NC_028137_YP_009175071.1
2	2	PF14314.3	5323	5558	95.4	92.9	0.0061	246	NC_028367_YP_009179217.1
1	2	PF04766.9	819	967	95.8	94.8	9e-04	149	NC_028370_YP_009179220.1
2	5	PF02907.12	3339	3471	96.3	92.5	0.008	133	NC_028370_YP_009179220.1
6	2	PF01661.18	6474	6626	96.3	93.4	0.0041	62	NC_028370_YP_009179220.1
1	2	PF02907.12	1666	1817	96.6	94.4	0.0015	143	NC_028371_YP_009179221.1
3	2	PF02384.13	3463	3561	96	94.1	0.0021	99	NC_028371_YP_009179221.1
1	2	PF02907.12	2605	2732	95.6	93.9	0.0025	128	NC_028373_YP_009179223.1
1	3	PF04766.9	1258	1319	95.3	87.1	0.065	113	NC_028374_YP_009179224.1
2	4	PF04766.9	1258	1310	95.3	87.1	0.065	113	NC_028374_YP_009179224.1
1	2	PF05578.9	1877	2018	95.2	91.6	0.014	142	NC_028376_YP_009179226.1
3	4	PF05175.11	3460	3568	96.3	90.3	0.024	106	NC_028376_YP_009179226.1
1	2	PF01538.15	23	91	96.9	95	0.00061	81	NC_028377_YP_009179227.1
2	4	PF00201.15	2782	2839	95.9	90.4	0.023	58	NC_029095_YP_009225663.1
2	2	PF14314.3	5510	5723	95.6	94.3	0.0016	226	NC_030228_YP_009254746.1
5	3	PF05578.9	2141	2194	95.1	90.7	0.02	54	NC_030653_YP_009268709.1
1	2	PF00910.19	721	786	96.2	94.9	0.00069	66	NC_030697_YP_009269301.1
3	3	PF03033.17	3004	3055	95.6	87.8	0.054	52	NC_031336_YP_009305414.1
4	4	PF03033.17	3004	3055	95.5	87.8	0.054	52	NC_031336_YP_009305414.1
2	4	PF00201.15	3755	3821	96.9	94	0.0022	64	NC_031463_YP_009310114.1
3	2	PF12381.5	1600	1807	95.8	94.3	0.0016	208	NC_031750_YP_009315907.1
2	2	PF05412.9	1301	1356	95.2	92.3	0.0088	56	NC_031752_YP_009315910.1
1	2	PF01543.14	27	108	96	91	0.018	82	NC_031950_YP_009325369.1
8	2	PF01006.17	1558	1612	95.2	88.2	0.048	55	NC_031950_YP_009325369.1
4	2	PF00910.19	1749	1856	96.3	95	0.00061	108	NC_032128_YP_009329861.1
1	3	PF00653.18	350	400	96.6	93.2	0.0049	51	NC_032488_YP_009333320.1
2	4	PF00653.18	350	400	96.5	93.2	0.0049	51	NC_032488_YP_009333320.1
3	3	PF06471.9	6635	6772	95.5	91.4	0.015	169	NC_032490_YP_009333323.1
4	4	PF06471.9	6635	6819	95.5	91.4	0.015	169	NC_032490_YP_009333323.1
1	5	PF00680.17	3641	3795	95.9	93.2	0.0049	239	NC_032492_YP_009333332.1
3	2	PF06471.9	4915	5054	95.8	94.3	0.0016	119	NC_032492_YP_009333332.1
4	2	PF06460.9	5326	5450	96.2	93.6	0.0033	125	NC_032492_YP_009333332.1
2	2	PF09416.7	3506	3593	96.1	93.1	0.0053	88	NC_032496_YP_009333345.1
4	2	PF06471.9	4200	4572	96.2	95	0.00064	330	NC_032496_YP_009333345.1
1	3	PF00910.19	363	508	96	91.8	0.012	82	NC_032564_YP_009333460.1
2	4	PF00910.19	363	505	96.2	91.8	0.012	82	NC_032564_YP_009333460.1
1	2	PF00910.19	529	642	95.8	95	0.00059	114	NC_032583_YP_009333501.1
1	4	PF00910.19	605	682	96	92.3	0.0087	78	NC_032624_YP_009333575.1
2	5	PF00910.19	605	666	96.1	92.3	0.0087	78	NC_032624_YP_009333575.1
3	2	PF00548.17	1395	1476	95.4	94.7	0.00095	83	NC_032624_YP_009333575.1
1	2	PF00910.19	638	755	96.1	94.8	0.00083	118	NC_032637_YP_009333595.1
4	3	PF12264.5	2925	3057	96.1	91.6	0.014	133	NC_032644_YP_009333607.1
1	4	PF02384.13	2877	2972	96.4	93	0.0054	51	NC_032735_YP_009336500.1
2	4	PF06431.8	735	790	95.7	90.1	0.026	36	NC_032737_YP_009336505.1
3	2	PF12381.5	1392	1576	95.8	94.6	0.0012	185	NC_032737_YP_009336505.1
1	3	PF00519.14	575	708	95.7	90.1	0.026	133	NC_032743_YP_009336519.1
2	4	PF00519.14	575	708	95.6	90.1	0.026	133	NC_032743_YP_009336519.1
3	3	PF14532.3	888	980	96.5	93.2	0.0049	77	NC_032743_YP_009336519.1
4	4	PF14532.3	888	980	96.5	93.2	0.0049	77	NC_032743_YP_009336519.1
4	3	PF00910.19	1691	1782	96.3	92	0.011	61	NC_032758_YP_009336542.1
5	4	PF00910.19	1726	1782	95.2	92	0.011	61	NC_032758_YP_009336542.1
6	2	PF08762.7	2928	3012	95.5	90.7	0.02	85	NC_032772_YP_009336568.1
6	2	PF08762.7	2776	2972	96.9	95	0.00066	197	NC_032816_YP_009336664.1
1	2	PF15663.2	107	185	95.6	92.7	0.0072	79	NC_032820_YP_009336671.1
1	2	PF00910.19	528	628	95.6	94.2	0.0019	101	NC_032822_YP_009336673.1
2	4	PF06431.8	754	817	95.8	90.2	0.025	64	NC_032822_YP_009336673.1
1	4	PF00910.19	603	703	95.4	87.3	0.061	101	NC_032852_YP_009336733.1
2	3	PF00910.19	604	703	95.2	87.3	0.061	101	NC_032852_YP_009336733.1
2	2	PF12381.5	1388	1598	96.3	94.5	0.0012	193	NC_032935_YP_009336902.1
3	3	PF08762.7	1452	1533	95.5	90.4	0.023	82	NC_032998_YP_009337053.1
2	2	PF13337.3	1281	1368	95.5	93.6	0.0035	87	NC_033005_YP_009337064.1
5	4	PF00915.17	2823	2991	95.7	91.8	0.012	168	NC_033005_YP_009337064.1
6	5	PF00915.17	2823	2991	95.7	91.8	0.012	168	NC_033005_YP_009337064.1
1	4	PF06431.8	1193	1249	96.4	93	0.0055	34	NC_033026_YP_009337118.1
1	2	PF00910.19	689	749	95.8	94.6	0.0012	61	NC_033054_YP_009337178.1
4	2	PF00910.19	1719	1826	96	94.9	0.00069	108	NC_033061_YP_009337194.1
4	2	PF00910.19	1716	1776	95.4	93.1	0.0054	61	NC_033136_YP_009337372.1
1	3	PF00910.19	518	579	95.3	92.2	0.0097	62	NC_033148_YP_009337395.1
2	2	PF00910.19	750	814	95.3	94.2	0.0018	56	NC_033148_YP_009337395.1
5	5	PF14709.4	2123	2185	95.2	89.2	0.036	63	NC_033148_YP_009337395.1
6	5	PF03035.11	2920	2972	95.1	91.5	0.014	55	NC_033148_YP_009337395.1
2	2	PF02338.16	804	868	95.1	89.5	0.032	65	NC_033158_YP_009337412.1
1	3	PF00910.19	764	862	95.5	89.7	0.03	99	NC_033185_YP_009337644.1
2	4	PF00910.19	764	861	95.5	89.7	0.03	99	NC_033185_YP_009337644.1
4	2	PF00910.19	1607	1712	95.4	92.5	0.0078	106	NC_033189_YP_009337653.1
1	4	PF00910.19	620	716	95.2	88.1	0.049	21	NC_033219_YP_009337710.1
1	2	PF00910.19	546	609	95.9	93.9	0.0026	62	NC_033235_YP_009337745.1
4	2	PF12264.5	1855	1993	96.6	95	0.00063	139	NC_033235_YP_009337745.1
5	3	PF04266.11	2546	2627	96.1	91.4	0.015	82	NC_033256_YP_009337788.1
6	2	PF00915.17	2720	2890	95.3	93.4	0.0039	171	NC_033256_YP_009337788.1
1	2	PF00680.17	3030	3370	95.1	94.2	0.0018	341	NC_033457_YP_009342322.1
1	4	PF00910.19	927	1030	96.5	92.9	0.0061	104	NC_033458_YP_009342325.1
2	5	PF00910.19	927	1030	96.5	92.9	0.0061	104	NC_033458_YP_009342325.1
5	2	PF00915.17	2869	3036	95.8	94.2	0.002	168	NC_033458_YP_009342325.1
1	4	PF01661.18	107	209	95.1	86.7	0.072	103	NC_033459_YP_009342326.1
2	2	PF00910.19	1067	1169	95.1	93.8	0.0029	103	NC_033459_YP_009342326.1
1	2	PF00910.19	642	712	96.2	94.5	0.0013	71	NC_033475_YP_009342445.1
13	2	PF01795.16	2559	2712	96.1	90.3	0.024	23	NC_033698_YP_009344968.1
2	2	PF00069.22	2052	2139	96.1	94.2	0.0018	88	NC_033700_YP_009344970.1
3	5	PF14519.3	2608	2759	95.8	89.6	0.031	152	NC_033700_YP_009344970.1
4	5	PF08123.10	2788	2884	95.8	86.6	0.072	84	NC_033700_YP_009344970.1
5	4	PF05971.9	2798	2884	96	89	0.038	85	NC_033700_YP_009344970.1
6	5	PF09401.7	5040	5101	95.2	87.2	0.063	62	NC_033700_YP_009344970.1
1	2	PF00910.19	477	581	96.1	94.8	0.00088	105	NC_033716_YP_009345020.1
2	2	PF14532.3	714	803	96.2	95	0.00064	84	NC_033716_YP_009345020.1
5	3	PF03368.11	2059	2123	95.8	88.1	0.05	64	NC_033716_YP_009345020.1
6	2	PF03368.11	2145	2209	95.9	95	0.00065	65	NC_033716_YP_009345020.1
13	2	PF01795.16	2568	2687	96.3	91.6	0.014	121	NC_033725_YP_009345036.1
1	2	PF01003.16	7	101	97.2	94.9	0.00076	96	NC_033726_YP_009345037.1
2	2	PF12381.5	1543	1732	96	93.9	0.0027	191	NC_033732_YP_009345053.1
5	5	PF12264.5	2757	2919	95.7	91.9	0.011	159	NC_033732_YP_009345053.1
6	5	PF08762.7	3057	3196	95.8	91.5	0.014	140	NC_033732_YP_009345053.1
2	2	PF14532.3	673	796	95.8	93.3	0.0046	88	NC_033816_YP_009345893.1
2	2	PF02832.13	568	640	96	92.3	0.0091	73	NC_034017_YP_009350102.1
2	2	PF02832.13	569	642	95.5	89	0.038	74	NC_034204_YP_009351861.1
6	2	PF06460.9	6488	6650	95.7	91.3	0.016	164	NC_034976_YP_009380535.1
