"","index","prot_id_segment_id","Hit","Prob_ihh","Prob_hh","Prob_seq"
"61",2,"NC_026812_YP_009130641.1","PF01661.18",96.8,94.9,97.6
"62",3,"NC_026812_YP_009130641.1","PF02122.12",96.1,91.2,96.4
"63",4,"NC_026812_YP_009130641.1","PF08717.7",95.3,93,96.8
"64",1,"NC_027817_YP_009164029.1","PF01570.14",97.5,95.1,97.9
"65",1,"NC_027819_YP_009164031.1","PF01570.14",95.9,87.8,96.4
"66",3,"NC_027915_YP_009165498.1","PF00915.17",95.6,NA,96.2
"67",3,"NC_027920_YP_009165596.1","PF03033.17",96.4,92,97
"68",7,"NC_027998_YP_009227295.1","PF08301.10",95.2,90.2,96.7
"69",2,"NC_028137_YP_009175071.1","PF14314.3",96.2,94.9,97.3
"70",2,"NC_028367_YP_009179217.1","PF14314.3",95.4,92.9,96.6
"71",1,"NC_028370_YP_009179220.1","PF04766.9",95.8,94.8,97.2
"72",2,"NC_028370_YP_009179220.1","PF02907.12",96.3,92.5,96.5
"73",6,"NC_028370_YP_009179220.1","PF01661.18",96.3,93.4,97.3
"74",1,"NC_028371_YP_009179221.1","PF02907.12",96.6,94.4,97.1
"75",3,"NC_028371_YP_009179221.1","PF02384.13",96,94.1,97.5
"76",1,"NC_028373_YP_009179223.1","PF02907.12",95.6,93.9,97
"77",1,"NC_028374_YP_009179224.1","PF04766.9",95.3,87.1,96.9
"78",2,"NC_028374_YP_009179224.1","PF04766.9",95.3,87.1,97.1
"79",1,"NC_028376_YP_009179226.1","PF05578.9",95.2,91.6,95.2
"80",3,"NC_028376_YP_009179226.1","PF05175.11",96.3,90.3,96.8
"81",1,"NC_028377_YP_009179227.1","PF01538.15",96.9,95,97.5
"82",2,"NC_029095_YP_009225663.1","PF00201.15",95.9,90.4,95.6
"83",2,"NC_030228_YP_009254746.1","PF14314.3",95.6,94.3,97
"84",5,"NC_030653_YP_009268709.1","PF05578.9",95.1,90.7,96.9
"85",1,"NC_030697_YP_009269301.1","PF00910.19",96.2,94.9,97.8
"86",3,"NC_031336_YP_009305414.1","PF03033.17",95.6,87.8,97.1
"87",4,"NC_031336_YP_009305414.1","PF03033.17",95.5,87.8,97.1
"88",2,"NC_031463_YP_009310114.1","PF00201.15",96.9,94,97.8
"89",3,"NC_031750_YP_009315907.1","PF12381.5",95.8,94.3,96.7
"90",2,"NC_031752_YP_009315910.1","PF05412.9",95.2,92.3,97.3
"91",1,"NC_031950_YP_009325369.1","PF01543.14",96,91,96
"92",8,"NC_031950_YP_009325369.1","PF01006.17",95.2,88.2,96.5
"93",4,"NC_032128_YP_009329861.1","PF00910.19",96.3,95,97.6
"94",1,"NC_032488_YP_009333320.1","PF00653.18",96.6,93.2,97.7
"95",2,"NC_032488_YP_009333320.1","PF00653.18",96.5,93.2,97.7
"96",3,"NC_032490_YP_009333323.1","PF06471.9",95.5,91.4,96.2
"97",4,"NC_032490_YP_009333323.1","PF06471.9",95.5,91.4,96.2
"98",1,"NC_032492_YP_009333332.1","PF00680.17",95.9,93.2,92
"99",3,"NC_032492_YP_009333332.1","PF06471.9",95.8,94.3,96.7
"100",4,"NC_032492_YP_009333332.1","PF06460.9",96.2,93.6,96.8
"101",2,"NC_032496_YP_009333345.1","PF09416.7",96.1,93.1,97
"102",4,"NC_032496_YP_009333345.1","PF06471.9",96.2,95,96.5
"103",1,"NC_032564_YP_009333460.1","PF00910.19",96,91.8,96.5
"104",2,"NC_032564_YP_009333460.1","PF00910.19",96.2,91.8,96.5
"105",1,"NC_032583_YP_009333501.1","PF00910.19",95.8,95,97.7
"106",1,"NC_032624_YP_009333575.1","PF00910.19",96,92.3,96.6
"107",2,"NC_032624_YP_009333575.1","PF00910.19",96.1,92.3,96.8
"108",3,"NC_032624_YP_009333575.1","PF00548.17",95.4,94.7,96.1
"109",1,"NC_032637_YP_009333595.1","PF00910.19",96.1,94.8,97.4
"110",4,"NC_032644_YP_009333607.1","PF12264.5",96.1,91.6,96.6
"111",1,"NC_032735_YP_009336500.1","PF02384.13",96.4,93,97.3
"112",2,"NC_032737_YP_009336505.1","PF06431.8",95.7,90.1,97.1
"113",3,"NC_032737_YP_009336505.1","PF12381.5",95.8,94.6,96.5
"114",1,"NC_032743_YP_009336519.1","PF00519.14",95.7,90.1,96.3
"115",2,"NC_032743_YP_009336519.1","PF00519.14",95.6,90.1,96.3
"116",3,"NC_032743_YP_009336519.1","PF14532.3",96.5,93.2,97.3
"117",4,"NC_032743_YP_009336519.1","PF14532.3",96.5,93.2,97.3
"118",4,"NC_032758_YP_009336542.1","PF00910.19",96.3,92,97
"119",5,"NC_032758_YP_009336542.1","PF00910.19",95.2,92,96.6
"120",6,"NC_032772_YP_009336568.1","PF08762.7",95.5,90.7,90.3
"121",6,"NC_032816_YP_009336664.1","PF08762.7",96.9,95,97
"122",1,"NC_032820_YP_009336671.1","PF15663.2",95.6,92.7,96.4
"123",1,"NC_032822_YP_009336673.1","PF00910.19",95.6,94.2,97.4
"124",2,"NC_032822_YP_009336673.1","PF06431.8",95.8,90.2,96.7
"125",1,"NC_032852_YP_009336733.1","PF00910.19",95.4,87.3,96.5
"126",2,"NC_032852_YP_009336733.1","PF00910.19",95.2,87.3,96.4
"127",2,"NC_032935_YP_009336902.1","PF12381.5",96.3,94.5,97
"128",3,"NC_032998_YP_009337053.1","PF08762.7",95.5,90.4,96.9
"129",2,"NC_033005_YP_009337064.1","PF13337.3",95.5,93.6,96.9
"130",5,"NC_033005_YP_009337064.1","PF00915.17",95.7,91.8,96
"131",6,"NC_033005_YP_009337064.1","PF00915.17",95.7,91.8,96
"132",1,"NC_033026_YP_009337118.1","PF06431.8",96.4,93,97.6
"133",1,"NC_033054_YP_009337178.1","PF00910.19",95.8,94.6,97.5
"134",4,"NC_033061_YP_009337194.1","PF00910.19",96,94.9,97.6
"135",4,"NC_033136_YP_009337372.1","PF00910.19",95.4,93.1,96.7
"136",1,"NC_033148_YP_009337395.1","PF00910.19",95.3,92.2,96.3
"137",2,"NC_033148_YP_009337395.1","PF00910.19",95.3,94.2,97.1
"138",5,"NC_033148_YP_009337395.1","PF14709.4",95.2,89.2,96.6
"139",6,"NC_033148_YP_009337395.1","PF03035.11",95.1,91.5,96.5
"140",2,"NC_033158_YP_009337412.1","PF02338.16",95.1,89.5,97
"141",1,"NC_033185_YP_009337644.1","PF00910.19",95.5,89.7,96.6
"142",2,"NC_033185_YP_009337644.1","PF00910.19",95.5,89.7,96.5
"143",4,"NC_033189_YP_009337653.1","PF00910.19",95.4,92.5,97
"144",1,"NC_033219_YP_009337710.1","PF00910.19",95.2,88.1,96.4
"145",1,"NC_033235_YP_009337745.1","PF00910.19",95.9,93.9,97.1
"146",4,"NC_033235_YP_009337745.1","PF12264.5",96.6,95,97.3
"147",5,"NC_033256_YP_009337788.1","PF04266.11",96.1,91.4,96.7
"148",6,"NC_033256_YP_009337788.1","PF00915.17",95.3,93.4,95.5
"149",1,"NC_033457_YP_009342322.1","PF00680.17",95.1,94.2,94.6
"150",1,"NC_033458_YP_009342325.1","PF00910.19",96.5,92.9,97.4
"151",2,"NC_033458_YP_009342325.1","PF00910.19",96.5,92.9,97.4
"152",5,"NC_033458_YP_009342325.1","PF00915.17",95.8,94.2,96.6
"153",1,"NC_033459_YP_009342326.1","PF01661.18",95.1,86.7,96.2
"154",2,"NC_033459_YP_009342326.1","PF00910.19",95.1,93.8,97.5
"155",1,"NC_033475_YP_009342445.1","PF00910.19",96.2,94.5,97.6
"156",13,"NC_033698_YP_009344968.1","PF01795.16",96.1,90.3,96.5
"157",2,"NC_033700_YP_009344970.1","PF00069.22",96.1,94.2,97.2
"158",3,"NC_033700_YP_009344970.1","PF14519.3",95.8,89.6,96.4
"159",4,"NC_033700_YP_009344970.1","PF08123.10",95.8,86.6,96.3
"160",5,"NC_033700_YP_009344970.1","PF05971.9",96,89,96.6
"161",6,"NC_033700_YP_009344970.1","PF09401.7",95.2,87.2,96.7
"162",1,"NC_033716_YP_009345020.1","PF00910.19",96.1,94.8,97.6
"163",2,"NC_033716_YP_009345020.1","PF14532.3",96.2,95,97.8
"164",5,"NC_033716_YP_009345020.1","PF03368.11",95.8,88.1,96.6
"165",6,"NC_033716_YP_009345020.1","PF03368.11",95.9,95,97.7
"166",13,"NC_033725_YP_009345036.1","PF01795.16",96.3,91.6,96.6
"167",1,"NC_033726_YP_009345037.1","PF01003.16",97.2,94.9,96.8
"168",2,"NC_033732_YP_009345053.1","PF12381.5",96,93.9,96.6
"169",5,"NC_033732_YP_009345053.1","PF12264.5",95.7,91.9,96.1
"170",6,"NC_033732_YP_009345053.1","PF08762.7",95.8,91.5,96.5
"171",2,"NC_033816_YP_009345893.1","PF14532.3",95.8,93.3,97.2
"172",2,"NC_034017_YP_009350102.1","PF02832.13",96,92.3,96.7
"173",2,"NC_034204_YP_009351861.1","PF02832.13",95.5,89,96.1
"174",6,"NC_034976_YP_009380535.1","PF06460.9",95.7,91.3,96.9
